,timestamp,customer_no,location
229,07:15:00,30,entrance
230,07:16:00,30,dairy
231,07:17:00,30,spices
232,07:18:00,30,spices
233,07:19:00,30,spices
234,07:20:00,30,spices
235,07:21:00,30,spices
236,07:22:00,30,spices
237,07:23:00,30,spices
238,07:24:00,30,spices
239,07:25:00,30,spices
240,07:26:00,30,dairy
241,07:27:00,30,checkout
242,07:16:00,31,entrance
243,07:17:00,31,fruit
244,07:18:00,31,spices
245,07:19:00,31,drinks
246,07:20:00,31,fruit
247,07:21:00,31,fruit
248,07:22:00,31,fruit
249,07:23:00,31,checkout
250,07:16:00,32,entrance
251,07:17:00,32,fruit
252,07:18:00,32,fruit
253,07:19:00,32,spices
254,07:20:00,32,fruit
255,07:21:00,32,fruit
256,07:22:00,32,spices
257,07:23:00,32,spices
258,07:24:00,32,fruit
259,07:25:00,32,fruit
260,07:26:00,32,checkout
261,07:17:00,33,entrance
262,07:18:00,33,drinks
263,07:19:00,33,drinks
264,07:20:00,33,checkout
265,07:17:00,34,entrance
266,07:18:00,34,fruit
267,07:19:00,34,drinks
268,07:20:00,34,drinks
269,07:21:00,34,fruit
270,07:22:00,34,checkout
271,07:18:00,35,entrance
272,07:19:00,35,spices
273,07:20:00,35,checkout
274,07:18:00,36,entrance
275,07:19:00,36,fruit
276,07:20:00,36,fruit
277,07:21:00,36,checkout
278,07:19:00,37,entrance
279,07:20:00,37,fruit
280,07:21:00,37,dairy
281,07:22:00,37,dairy
282,07:23:00,37,dairy
283,07:24:00,37,dairy
284,07:25:00,37,dairy
285,07:26:00,37,dairy
286,07:27:00,37,dairy
287,07:28:00,37,dairy
288,07:29:00,37,dairy
289,07:30:00,37,dairy
290,07:31:00,37,spices
291,07:32:00,37,drinks
292,07:33:00,37,drinks
293,07:34:00,37,spices
294,07:35:00,37,drinks
295,07:36:00,37,drinks
296,07:37:00,37,checkout
297,07:19:00,38,entrance
298,07:20:00,38,dairy
299,07:21:00,38,dairy
300,07:22:00,38,dairy
301,07:23:00,38,drinks
302,07:24:00,38,fruit
303,07:25:00,38,checkout
304,07:20:00,39,entrance
305,07:21:00,39,dairy
306,07:22:00,39,dairy
307,07:23:00,39,checkout
308,07:20:00,40,entrance
309,07:21:00,40,drinks
310,07:22:00,40,checkout
311,07:21:00,41,entrance
312,07:22:00,41,drinks
313,07:23:00,41,drinks
314,07:24:00,41,drinks
315,07:25:00,41,checkout
316,07:21:00,42,entrance
317,07:22:00,42,fruit
318,07:23:00,42,checkout
319,07:22:00,43,entrance
320,07:23:00,43,fruit
321,07:24:00,43,fruit
322,07:25:00,43,dairy
323,07:26:00,43,dairy
324,07:27:00,43,dairy
325,07:28:00,43,dairy
326,07:29:00,43,dairy
327,07:30:00,43,dairy
328,07:31:00,43,dairy
329,07:32:00,43,dairy
330,07:33:00,43,spices
331,07:34:00,43,spices
332,07:35:00,43,fruit
333,07:36:00,43,fruit
334,07:37:00,43,fruit
335,07:38:00,43,fruit
336,07:39:00,43,fruit
337,07:40:00,43,dairy
338,07:41:00,43,dairy
339,07:42:00,43,checkout
340,07:22:00,44,entrance
341,07:23:00,44,fruit
342,07:24:00,44,dairy
343,07:25:00,44,dairy
344,07:26:00,44,dairy
345,07:27:00,44,checkout
346,07:23:00,45,entrance
347,07:24:00,45,dairy
348,07:25:00,45,dairy
349,07:26:00,45,dairy
350,07:27:00,45,dairy
351,07:28:00,45,spices
352,07:29:00,45,checkout
353,07:23:00,46,entrance
354,07:24:00,46,dairy
355,07:25:00,46,checkout
356,07:24:00,47,entrance
357,07:25:00,47,fruit
358,07:26:00,47,checkout
359,07:24:00,48,entrance
360,07:25:00,48,spices
361,07:26:00,48,dairy
362,07:27:00,48,dairy
363,07:28:00,48,dairy
364,07:29:00,48,spices
365,07:30:00,48,dairy
366,07:31:00,48,dairy
367,07:32:00,48,dairy
368,07:33:00,48,dairy
369,07:34:00,48,checkout
